"site"	"air_mean_temp"	"alt"	"slope_per"	"din"	"ppo4"	"tmean"	"DOmean"	"flow_vel"	"discharge"	"NDVI100m"	"algal.production"	"GPP.mle"	"ER.mle"	"K600_hyd"	"pCH4"	"pCO2"	"FCH4.h"	"FCO2.h"	"do.def"	"ch4co2_ratio"	"pceq"	"perCH4"	"NEP.mle"	"co2per"	"rip_open"
"23"	"site23"	-0.702895782349127	1.80362430557497	1.37370868154647	-1.20507895103893	-0.455963936521772	-0.975935485866666	-0.429368448676308	-2.65230009352014	-2.29710240254783	1.45704877274489	-0.644898734879407	-1.67550589964858	-1.89445505372112	-0.901384422025039	-0.609702106976769	0.376077346980579	-1.18063434270244	-0.0531795524489118	0.687453147519809	-1.0360370736909	-0.027512874143239	-1.03774953787804	1.55284989167738	0.383538947269825	-1.28017040327664
"24"	"site24"	-0.562152425296073	1.63441608117023	-0.168764738948245	-1.26928428480456	-0.438480656747165	1.09237362860743	0.155374574812827	-0.0726541612467119	0.781502350251857	0.628332083073197	0.0443382315645612	0.498803666636288	-0.537404276853658	-0.180201142460933	-0.98286828998431	-1.23840142809053	-0.822983715006912	-0.617522488134849	-2.74680125572113	0.0163390156464232	-0.943304584191637	-0.0482479871080758	1.44653525036032	-1.06633579792699	-0.666348413448585
"25"	"site25"	0.0565319150829773	-0.93416476529367	-0.350232200182917	1.22647469951387	4.1596219239747	0.402937257116065	-0.0116948604697829	-0.0726541612467119	0.374543211755143	-0.950175897253838	0.716266746625391	0.834399125273906	1.1154883318396	-0.355264992524509	-0.451709149283343	0.808079692167057	-0.303041986538351	0.577378043347874	0.487199921630657	-1.21803453495344	0.401569536591826	-1.18547358122981	-1.12704755098355	0.640019102845653	0.781126241128579
"26"	"site26"	-0.16337958031242	-0.99169556159128	0.0308494684098941	0.631318028743559	-0.281131138775694	-0.248197093736892	0.740117598301962	-1.82290288037036	-0.729440102790846	-1.06856399577837	-0.383599214824026	-1.57476801118665	-0.695749403684812	-0.960549822427974	-0.695053276150167	0.173079761182592	-1.33109315720376	-0.175373888009992	-0.0852130077235904	-0.954869533192881	-0.196269780878863	-0.969306474473438	0.342781232197031	-0.0359346387286757	1.00127051611191
"27"	"site27"	-0.702895782349127	1.69871520644403	0.230463675768034	-1.9667969738798	-0.47344721629638	-0.899331444589848	0.573048163019353	-0.962596604647589	-0.328184356976237	1.02295907815496	-0.873354440307497	-0.134811599986476	-0.0637914691425193	-0.494220474352426	-0.880987000241719	-0.787490302140753	-1.03725035246768	-0.40547247091875	-0.692476701707632	-0.317792320026299	-0.765242785355301	-0.38390133158545	-0.0834800384305569	-0.786075537600922	-0.945809327574725
"28"	"site28"	0.936177896664566	-0.974774739150807	-0.822047599393064	1.61945112653015	-0.0538485017057921	0.747655442861749	-1.59885449565458	0.379190914269954	0.12824546781279	-1.3448028923356	0.609149268059578	NA	NA	-0.644251752202146	0.420931548355464	0.697785906708291	0.234434269945157	0.357620421863506	1.32554677203422	-0.373094457672164	0.376721245186518	-0.437759416467296	-0.029000807018733	0.95580468382941	1.99518157251114
"29"	"site29"	1.03293895463854	-0.940933094269859	0.212316929644566	0.997198916524032	-0.420997376972557	0.249729174562428	-0.262299013393698	-0.488382208754689	-0.507729842502266	-1.06856399577837	0.842415209172411	-0.523404813232907	-0.113726748670629	-0.187627138752216	-0.414563621586402	0.932433736889568	-0.206810371443469	0.686927081360526	0.734650645712861	-1.2739823161036	0.545266677101671	-1.22922214869998	-0.124422048534941	0.798285223255128	1.00127051611191
"30"	"site30"	1.04466756772629	-0.602516645460386	-0.640580138158392	1.0675646424471	4.36942128126999	0.977467566692203	0.322444010095437	1.16817999227158	-0.161648175662074	-1.26587749331924	-0.217854518063952	0.539828869805744	-0.191589061685042	0.262909628951877	0.420931548355464	-0.202224882958262	0.917607054036276	0.323308804114058	-0.362799620865955	0.573836207603223	-0.34176445736271	0.543504051803845	0.623876711809223	-0.256633680278774	1.5701914841108
"31"	"site31"	-0.356901696260369	-0.328399321924713	0.811159551718984	-0.514073652475165	-0.438480656747165	-0.401405176290528	0.907187033584572	0.704852776504272	0.819926192315899	-1.06856399577837	-0.569027085900442	0.388198594513488	0.667461657282948	1.90766553885134	-0.414563621586402	-1.07314341974535	0.730599228930456	0.0180653660694951	-0.702221865594186	0.521533599854413	-0.846872066056994	0.486641788403846	-0.760381725647822	-1.08552734456243	1.00127051611191
"32"	"site32"	-0.0959400550578312	-0.754804047424649	-0.495406169170655	0.874049150782538	-0.158748180353439	1.01576958733061	-0.262299013393698	0.445047140412887	-0.368123617902068	-1.22641479381107	0.966163762209608	0.407597262094734	0.41970325676689	-0.134504384322967	0.820060474645381	0.290411717078678	0.916524490794037	0.416237785803486	0.466980683561224	0.507991902162347	0.0672278454276377	0.471958470674827	-0.452911568446649	0.274461752904531	1.42091368488193
